12761,CHEM 212 - L05,SI
12763,ECON 201 - 03,SI
12765,ECON 210 - 01,SI
12770,ECON 343 - 01,SI
12772,CS 111 - L05,SI
12857,CLSC 214 - 01,SI
12877,CS 230 - 02,SI
12882,CS 111 - 03,SI
13138,CHEM 306 - 02,SI
13139,CHEM 323 - 01,SI
13145,CLCV 104 - 01,SI
13146,CLCV 202 - 01,SI
13147,CLCV 240 - 01,SI
13149,CPLT 113 - 01,none
13150,CPLT 284 - 01,none
13151,CS 114 - 01,none
13152,CS 117 - 01,none
13153,CS 231 - 01,none
13155,CS 342 - 01,none
13156,CHIN 243 - 01,none
13157,CHIN 326 - 01,none
13257,CS 114 - D01,none
13259,CS 342 - D01,none
13260,CS 342 - D02,none
13261,CS 117 - D01,none
13262,CS 117 - D02,none
13275,CS 240 - 01,none
13277,ECON 103 - 03,none
13280,ECON 103 - 3LA,none
13282,ECON 103 - 3LB,none
13283,ECON 228 - 01,none
13284,ECON 313 - 01,none
13286,ECON 232 - 01,none
13287,ECON 242 - 01,none
13288,ECON 303 - 01,none
13289,ECON 310 - 01,none
13290,ECON 311 - 01,helproom/peer tutoring
13292,ECON 341 - 01,helproom/peer tutoring
13297,CHEM 320 - L01,helproom/peer tutoring
13298,CHEM 320 - L02,helproom/peer tutoring
13301,CHEM 361 - L01,helproom/peer tutoring
13302,CHEM 361 - L02,helproom/peer tutoring
13303,CS 111 - L06,helproom/peer tutoring
13304,CS 230 - L04,helproom/peer tutoring
13307,CS 342 - D03,helproom/peer tutoring
13334,CLCV 225 - 01,helproom/peer tutoring
13335,CPLT 225 - 01,helproom/peer tutoring
13336,CLCV 325 - 01,helproom/peer tutoring
13337,CPLT 325 - 01,helproom/peer tutoring
13338,EALC 245 - 01,helproom/peer tutoring
13340,CS 322 - 01,helproom/peer tutoring
13370,CHEM 107 - 01,helproom/peer tutoring
13415,ECON 100 - 01,helproom/peer tutoring
